timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
1760637382009784161,-4.8236847,24.492264,13.326645,0.2680664,-0.4916992,0.71875,-5.487926,-29.962048,0.048955098,0.9648984,-0.2581829,-0.046356056,0.012787316
1760637382020454161,-5.5561066,27.059555,12.472153,0.2475586,-0.4873047,0.72119135,-5.230553,-30.029133,0.24056321,0.96482694,-0.25870165,-0.04461474,0.013846445
1760637382031124161,-4.886627,29.132843,11.49559,0.23291016,-0.4790039,0.7236328,-4.9191875,-30.08094,0.4328604,0.964804,-0.25910375,-0.04242372,0.014781016
1760637382041768161,-3.1166077,28.949738,8.260727,0.18652344,-0.46875,0.69970703,-4.618398,-30.126907,0.59004545,0.96478754,-0.25947374,-0.0402443,0.015439474
1760637382052413161,-2.1400452,28.949738,6.1855316,0.15820312,-0.4633789,0.6977539,-4.326361,-30.156578,0.80026054,0.9647909,-0.25969234,-0.038260616,0.016557155
1760637382063058161,-0.6122589,28.215408,4.781723,0.14208984,-0.43847656,0.68066406,-4.0446525,-30.174496,0.95032597,0.96481955,-0.2598359,-0.036228605,0.017187238
1760637382071068161,0.7915497,27.421951,3.0727386,0.1171875,-0.44677734,0.67089844,-3.525334,-30.170172,1.0956756,0.9649623,-0.25983402,-0.03218537,0.017232455
1760637382079080161,1.9512177,25.957108,1.1806488,0.087890625,-0.43652344,0.6850586,-3.29435,-30.150438,1.2099576,0.9650531,-0.25967178,-0.030498903,0.017666776
1760637382087092161,3.5991669,24.614334,0.38719177,0.07373047,-0.43554688,0.6894531,-3.077996,-30.1144,1.3099207,0.9651755,-0.25937602,-0.028902058,0.018011153
1760637382095104161,5.918503,23.210526,-0.3452301,0.056152344,-0.43554688,0.69384766,-2.876507,-30.058153,1.40744,0.96533716,-0.25891018,-0.027423054,0.018366143
1760637382105758161,7.993698,22.172928,-0.83351135,0.04882812,-0.4272461,0.6586914,-2.6877604,-29.9854,1.5095533,0.96552926,-0.2583039,-0.0260595,0.018787697
1760637382116412161,9.151459,20.34378,-1.3217926,0.023925785,-0.40820312,0.66308594,-2.52077,-29.902826,1.6555235,0.96572834,-0.25760347,-0.024975533,0.019628592
1760637382127066161,10.74028,17.412186,-0.5893707,0.042968754,-0.40478516,0.65722656,-2.372,-29.803322,1.7673794,0.96596456,-0.25676665,-0.0239649,0.020222917
1760637382137774161,15.010834,14.850616,0.44822693,0.037597656,-0.3798828,0.67285156,-2.2332463,-29.68438,1.8177953,0.96625066,-0.25577793,-0.022897497,0.02032167
1760637382148482161,16.784668,13.080597,0.81443787,0.0014648475,-0.3725586,0.66748047,-2.1000798,-29.549,1.896858,0.9665648,-0.25464436,-0.02193772,0.020675167
1760637382159190161,18.737793,12.104034,1.8520355,0.03515625,-0.3466797,0.66845703,-1.9785439,-29.396315,2.0160816,0.966905,-0.25335595,-0.021160703,0.021394446
1760637382169836161,20.68901,12.590408,2.5234222,0.034179688,-0.33935547,0.65722656,-1.7288022,-29.041916,2.1784728,0.967699,-0.25038266,-0.019367341,0.022182187
1760637382180482161,22.520065,12.960434,3.255844,0.03466797,-0.32421875,0.6538086,-1.5945592,-28.839222,2.322478,0.9681351,-0.24867304,-0.018519789,0.023090083
1760637382191128161,25.0206,13.507843,3.7441254,0.039550778,-0.30859375,0.65625,-1.4535644,-28.616398,2.5119004,0.9686009,-0.24678902,-0.017704487,0.024371132
1760637382199115161,28.316498,14.17923,4.9648285,0.028808597,-0.2680664,0.67626953,-1.3077816,-28.374828,2.701375,0.96910024,-0.24474943,-0.016838063,0.025647614
1760637382207100161,29.417038,13.628006,5.8193207,0.023925785,-0.23486328,0.71533203,-1.1579534,-28.122948,2.88275,0.96961725,-0.24262692,-0.015910182,0.026853442
1760637382215085161,30.51567,12.407303,6.795883,0.032226566,-0.23632811,0.734375,-1.011426,-27.8629,3.077768,0.9701395,-0.24043456,-0.015028992,0.028188631
1760637382223070161,30.332565,11.552811,7.7114105,0.01171875,-0.2241211,0.7084961,-0.86723286,-27.595299,3.2935321,0.9706633,-0.23817708,-0.014200068,0.02971165
1760637382233759161,29.478073,8.562088,8.932114,0.04296875,-0.23242188,0.7055664,-0.73436475,-27.33041,3.4604592,0.9711837,-0.23594742,-0.013357284,0.030851608
1760637382244448161,25.938034,5.6324005,10.152817,0.061523438,-0.23339844,0.75390625,-0.62370646,-27.07791,3.6574767,0.97166073,-0.23381484,-0.012759605,0.032298375
1760637382255137161,21.7247,3.6811829,11.068344,0.067871094,-0.25195312,0.855957,-0.53121865,-26.860125,3.9020488,0.97204316,-0.23196761,-0.012413557,0.034189932
1760637382265904161,18.611908,2.0942688,12.289047,0.049316406,-0.2631836,0.934082,-0.41120532,-26.407259,4.2973566,0.9728427,-0.22811943,-0.012054867,0.037320405
1760637382276672161,16.90483,1.7261505,14.181137,0.071777344,-0.2763672,0.9326171,-0.3653131,-26.192652,4.543232,0.9731911,-0.22628646,-0.0120838,0.03932743
1760637382287440161,16.784668,0.8125305,15.707016,0.0703125,-0.26757812,0.9047851,-0.32628974,-25.980026,4.80588,0.97352165,-0.22446632,-0.0121964505,0.041493297
1760637382298016161,15.987396,5.634308,18.270493,0.08691406,-0.29003906,1.003418,-0.2725473,-25.766634,5.0877757,0.97383916,-0.222643,-0.012212511,0.043796964
1760637382308591161,17.81845,9.113312,19.247055,0.07324219,-0.30615234,1.0668945,-0.1574657,-25.585554,5.388923,0.9740839,-0.22111756,-0.011747737,0.04614687
1760637382319166161,20.627975,14.787674,20.589828,0.080078125,-0.3227539,1.0229492,0.017007792,-25.420822,5.7017307,0.9742889,-0.21975835,-0.010798583,0.04848503
1760637382327201161,21.177292,20.467758,21.20018,0.083496094,-0.31689453,0.9541015,0.4387078,-24.944843,6.2122626,0.97500324,-0.21585333,-0.007969778,0.05208089
1760637382335234161,19.34433,23.88382,21.871567,0.031738285,-0.31933594,0.93164057,0.72591466,-24.734514,6.4635735,0.9752983,-0.21418108,-0.005896165,0.053711504
1760637382343267161,18.432617,23.88382,22.787094,-0.0029296838,-0.3540039,0.93701166,1.0218652,-24.54413,6.777631,0.9755139,-0.21268895,-0.003865553,0.055866368
1760637382351300161,17.637253,23.454666,23.885727,-0.01708984,-0.38720703,0.9414062,1.3249203,-24.372597,7.0947614,0.9756793,-0.21137175,-0.0017804895,0.05803971
1760637382361906161,15.806198,22.966385,24.068832,-0.03271484,-0.40625,0.9536132,1.6252598,-24.225254,7.403105,0.97579116,-0.21027045,0.00029252935,0.060145922
1760637382372512161,12.874603,20.22171,23.580551,-0.046386715,-0.4233398,1.1044922,1.8830445,-24.116499,7.690868,0.9758321,-0.20948516,0.0020247726,0.062151488
1760637382383118161,8.054733,16.435623,23.397446,-0.0961914,-0.43310547,1.4912109,2.1124866,-24.0469,7.9438567,0.9758132,-0.20902517,0.0035593342,0.06390585
1760637382391269161,5.8555603,8.930206,23.031235,-0.15527344,-0.5864258,1.7216796,2.317264,-23.99391,8.224754,0.975742,-0.20870052,0.004824819,0.06594003
1760637382399420161,10.250092,7.0991516,21.44432,-0.10986328,-0.5161133,1.2714844,2.4756904,-23.925724,8.53871,0.9756731,-0.20822749,0.0056477264,0.06834622
1760637382407571161,13.181686,10.335922,19.247055,-0.11865234,-0.46972656,0.9077148,2.624509,-23.819122,8.849294,0.97566706,-0.20742719,0.0064247744,0.070755504
1760637382415722161,11.045456,12.712479,16.805649,-0.12451171,-0.5283203,0.65966797,2.8305788,-23.743385,9.183482,0.97557896,-0.20693287,0.0076290797,0.07325424
1760637382426201161,-1.5869141,8.50296,12.655258,-0.13916016,-0.5258789,0.9360351,2.996905,-23.657974,9.4214115,0.97556424,-0.2063309,0.008679071,0.07501082
1760637382436680161,-13.307571,5.449295,9.847641,-0.29882812,-0.55566406,1.645996,3.1218314,-23.726011,9.557573,0.97534454,-0.20700255,0.009445641,0.07591905
1760637382447159161,-7.8144073,13.566971,12.716293,-0.36035156,-0.76123047,1.4384766,3.235771,-23.82967,9.772853,0.97500724,-0.20797831,0.009945769,0.07750461
1760637382457821161,1.8920898,8.808136,10.519028,-0.29638672,-0.5957031,0.79882807,3.5675228,-23.889328,10.2669935,0.97452796,-0.20876172,0.011821636,0.0810803
1760637382468484161,-4.518509,13.505936,7.7114105,-0.1772461,-0.51904297,0.5571289,3.742217,-23.953697,10.435249,0.97427493,-0.20945102,0.012946829,0.082164295
1760637382479147161,-17.58194,23.334503,5.2700043,-0.24658202,-0.6142578,0.6640625,4.0910287,-24.260033,10.643976,0.97353405,-0.21232836,0.015268249,0.08315611
1760637382487137161,-34.122467,23.029327,0.81443787,-0.40234375,-0.76220703,1.0649414,4.325785,-24.515917,10.814671,0.97291493,-0.21469343,0.01672282,0.08404455
1760637382495127161,-39.613724,21.32225,-0.16212463,-0.36035156,-0.8105469,1.175293,4.5371437,-24.828648,10.951403,0.9722121,-0.21751966,0.01798373,0.08464857
1760637382503117161,-43.823242,19.794464,-1.2607574,-0.375,-0.8261719,1.262207,4.7364683,-25.185472,11.048933,0.97144884,-0.22070387,0.019169392,0.0849076
1760637382511107161,-43.092728,15.764236,-2.4204254,-0.37841797,-0.83496094,1.3012695,4.909578,-25.57056,11.070536,0.97068226,-0.22409287,0.020247862,0.08454631
1760637382520716161,-41.872025,12.224197,-4.190445,-0.35156247,-0.8544922,1.3608398,5.1352615,-26.311827,11.157535,0.9691602,-0.23053694,0.021312347,0.08441963
1760637382530325161,-35.52437,7.463455,-6.204605,-0.3095703,-0.88623047,1.3359375,5.1907396,-26.613823,11.124336,0.9685857,-0.23311958,0.021572763,0.083853215
1760637382539934161,-26.491165,9.29451,-8.462906,-0.26953125,-0.8520508,1.2495117,5.2356215,-26.837626,11.112926,0.9681452,-0.23503749,0.021771029,0.08353542
1760637382549543161,-17.58194,1.4228821,-11.026382,-0.35888672,-0.80859375,1.1352539,5.178058,-26.968172,11.122416,0.96789044,-0.23609775,0.021146053,0.08365818
1760637382559152161,-4.5166016,-4.436493,-12.735367,-0.20117188,-0.80371094,1.0327148,5.0858955,-26.999153,11.118735,0.96784824,-0.23629087,0.02034695,0.08379924
1760637382568772161,9.4566345,-6.328583,-14.932632,-0.19726561,-0.67285156,0.76220703,4.986256,-26.964972,11.110098,0.96793985,-0.23592831,0.01955425,0.083951004
1760637382578389161,11.350632,-10.6601715,-15.604019,-0.14111327,-0.5986328,0.66503906,4.9054513,-26.992895,11.11937,0.9678911,-0.23610598,0.018827256,0.08418009
1760637382588006161,12.937546,-13.715744,-16.21437,-0.12402344,-0.56884766,0.6196289,4.751128,-26.95205,11.060387,0.9680402,-0.23563898,0.017682035,0.08402205
1760637382597623161,13.181686,-16.27922,-16.641617,-0.0859375,-0.5151367,0.5996094,4.5478363,-26.849884,10.921853,0.96837443,-0.23460835,0.016339973,0.08332353
1760637382607240161,13.118744,-17.864227,-16.21437,-0.0625,-0.4580078,0.609375,4.3229914,-26.746286,10.849438,0.9686627,-0.2335611,0.014678956,0.08322453
1760637382616821161,13.120651,-18.598557,-15.84816,-0.06005859,-0.421875,0.6245117,4.08647,-26.641235,10.764626,0.96896017,-0.2324926,0.012943429,0.08304095
1760637382626402161,13.240814,-20.122528,-15.237808,-0.051269528,-0.37402344,0.6430664,3.8427346,-26.535763,10.648256,0.9692777,-0.23141354,0.011208481,0.08260074
1760637382635983161,13.54599,-20.793915,-14.200211,-0.05371093,-0.34472656,0.62109375,3.5942721,-26.428228,10.568435,0.9695686,-0.23031898,0.009358692,0.08247541
1760637382645564161,13.85498,-22.319794,-12.857437,-0.053710934,-0.33251953,0.59814453,3.345185,-26.317562,10.544622,0.9698207,-0.22920235,0.0073917164,0.08282194
1760637382655145161,13.54599,-22.5029,-11.087418,-0.035644528,-0.30273438,0.56640625,3.0902047,-26.198996,10.548476,0.9700634,-0.22801523,0.0053249327,0.083413005
1760637382664738161,13.120651,-20.856857,-9.92775,-0.006835934,-0.29003906,0.5449219,2.62444,-25.975443,10.528389,0.9705261,-0.22578298,0.0016062865,0.084252775
1760637382674330161,12.386322,-17.803192,-8.768082,-0.018066406,-0.2763672,0.53564453,2.4386208,-25.871977,10.538149,0.9707201,-0.22477046,9.83607e-05,0.08473869
1760637382683922161,10.74028,-14.02092,-8.096695,-0.020507809,-0.26416016,0.51708984,2.2814999,-25.782217,10.515701,0.9709089,-0.22389449,-0.001115201,0.08488782
1760637382693514161,10.250092,-13.225555,-7.4863434,-0.020507809,-0.25439453,0.4912109,2.13817,-25.696325,10.439064,0.97112846,-0.22306237,-0.0021103686,0.08454721
1760637382703106161,9.580612,-11.274338,-6.7539215,-0.006835934,-0.2602539,0.48193356,2.0164733,-25.618708,10.414506,0.9712925,-0.22231576,-0.003031359,0.08460115
1760637382712725161,8.543015,-7.429123,-6.4487457,0.011230469,-0.24853516,0.4394531,1.9080464,-25.546562,10.4609995,0.9713926,-0.22162288,-0.0039822925,0.08522843
